8.188787,45.630942,71.98,0.23,15.53,1.89,0.04,0.79,0.52,3.37,5.55,0.09,583.7,214.1,76,2.82,172.9,41.8,45.8,82.6,47.8
8.18907,45.618582,72.12,0.23,15.6,1.95,0.04,0.56,0.8,3.61,4.99,0.09,552.2,219.8,93.7,2.35,192.1,38,41.6,92,41.5
8.190199,45.620091,72.78,0.17,15.43,1.32,0.03,0.34,0.84,3.92,5.07,0.11,325,221.1,79.4,2.78,117.4,41.7,21.9,55.1,23.8
8.192507,45.620403,71.68,0.25,15.6,2.23,0.04,0.77,0.91,3.78,4.66,0.09,447.4,212.4,84.8,2.5,208.1,40.3,45.2,95.7,48
8.190057,45.638388,72.14,0.19,16.86,1.74,0.04,0.28,0.45,3.23,4.96,0.11,489,258.3,83.4,3.1,148.8,32.7,28.2,75.7,35.2
8.19015,45.639308,72.98,0.15,15.85,1.36,0.03,0.42,0.37,3.58,5.16,0.09,383.3,242.7,55.9,4.34,118.9,50.2,44,81,45.5
8.178487,45.630496,71.7,0.26,16.11,2.02,0.03,0.48,1.07,3.14,5.07,0.13,544.2,231.6,105.9,2.19,170.8,36.4,37.5,71.2,35.4
8.1786,45.628189,72.25,0.25,15.41,1.86,0.04,0.45,1.07,3.42,5.12,0.14,452.2,218.3,91.8,2.38,160.7,36.5,44.4,83,42.1
8.207678,45.636511,73.11,0.09,16.37,1.16,0.04,0.29,0.23,3.6,5.07,0.03,202.5,310.7,26.5,11.72,81.8,66.4,18.8,47.5,24.8
8.198964,45.633932,73.31,0.07,16.27,1.22,0.04,0.3,0.26,3.5,5.01,0.02,145,282.8,26,10.88,78.4,45.1,15.1,31.4,17.3
8.203812,45.662763,75.47,0.06,13.75,1.05,0.03,0.21,0.17,3.94,5.28,0.03,83,273.7,15.7,17.43,68.2,51.3,14.5,39.6,21.6
8.206165,45.664859,74.98,0.09,14.09,1.35,0.04,0.33,0.35,4.07,4.68,0.03,169.5,236.8,25.7,9.21,105.8,73.5,23.6,70.7,36.1
8.205174,45.663944,75.52,0.09,13.8,1.33,0.03,0.2,0.24,3.76,5,0.02,130.1,256.8,20.5,12.53,114.4,84.2,41.9,74.2,50.8
8.206987,45.601685,74.09,0.09,15.75,0.89,0.02,0.14,0.09,4.03,4.9,0.02,126.1,250,17.4,14.37,93.7,63.7,29,72.7,34.2
8.206282,45.594082,74.16,0.08,14.71,1.26,0.04,0.38,0.37,4.19,4.77,0.03,85,254.1,21.5,11.82,84.1,58.6,21.4,51.7,28.2
